CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Self Inflicted Injuries,2013,Spring Valley,37,44.86316734
Self Inflicted Injuries,2010,Sweetwater,42,31.03754064
Self Inflicted Injuries,2011,Sweetwater,38,27.81926264
Self Inflicted Injuries,2012,Sweetwater,58,41.66367359
Self Inflicted Injuries,2013,Sweetwater,37,26.06698511
Self Inflicted Injuries,2010,University,19,30.28998677
Self Inflicted Injuries,2011,University,19,28.57916429
Self Inflicted Injuries,2012,University,22,32.31112678
Self Inflicted Injuries,2013,University,23,33.14550878
Self Inflicted Injuries,2010,Valley Center,8,34.29061294
Self Inflicted Injuries,2011,Valley Center,,
Self Inflicted Injuries,2012,Valley Center,8,33.96594914
Self Inflicted Injuries,2013,Valley Center,7,29.57954786
Self Inflicted Injuries,2010,Vista,81,80.65078211
Self Inflicted Injuries,2011,Vista,98,96.71466214
Self Inflicted Injuries,2012,Vista,67,65.63479624
Self Inflicted Injuries,2013,Vista,66,64.23170126
